lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,purchaser_type,preapproval,loan_amount,combined_loan_to_value_ratio,loan_term,intro_rate_period,other_nonamortizing_features,property_value,total_units,income,debt_to_income_ratio,applicant_credit_score_type,applicant_age,applicant_age_above_62,initially_payable_to_institution,aus_1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,derived_race_ethnicity_combination,loan_approved,gender,modified_debt_to_income_ratio
549300DT5WEC2I0L1E79,12420,TX,48491.0,48491020408.0,C,6,2,165000.0,80.0,360,,2,205000.0,1,69.0,30%-<36%,1,45-54,No,2,1,5062,32.64,86000,82,1052,1203,29,Non-Hispanic White,True,Female,33.0
549300FGXN1K3HLB1R50,41700,TX,48325.0,48325000800.0,C,1,2,325000.0,95.0,360,,2,345000.0,1,119.0,43,1,25-34,No,1,1,7067,52.89,67400,118,1810,2568,46,Non-Hispanic White,True,Male,43.0
549300FGXN1K3HLB1R50,48424,FL,12099.0,12099007765.0,C,1,2,405000.0,80.0,360,,2,505000.0,1,133.0,38,1,45-54,No,1,1,9141,46.65,74300,152,2291,3084,11,Non-Hispanic White,True,Male,38.0
549300TDVGWRELEO5F50,40380,NY,36055.0,36055011503.0,C,0,2,165000.0,90.93,360,180,2,185000.0,1,60.0,36,2,25-34,No,1,1,5703,5.12,74000,155,1990,2153,45,Non-Hispanic White,True,Male,36.0
549300AT7EB9FJAF0E61,99999,IN,18077.0,18077966100.0,C,3,2,355000.0,90.0,360,,2,395000.0,1,210.0,20%-<30%,1,35-44,No,1,1,6158,7.44,61000,98,2010,2519,24,Non-Hispanic White,True,Male,25.0
549300FGXN1K3HLB1R50,19804,MI,26163.0,26163597000.0,C,0,2,85000.0,97.0,360,,2,85000.0,1,35.0,41,2,35-44,No,3,2,4566,6.42,55500,136,1380,1747,40,Non-Hispanic White,False,Female,41.0
ZF85QS7OXKPBG52R7N18,27500,WI,55105.0,55105001302.0,C,0,2,155000.0,80.0,360,,2,185000.0,1,39.0,40,2,65-74,Yes,1,1,6838,3.89,66900,132,2278,2662,34,Non-Hispanic White,True,Male,40.0
549300AG64NHILB7ZP05,38060,AZ,4013.0,4013422644.0,C,1,2,285000.0,76.14,180,,2,375000.0,1,304.0,<20%,3,55-64,No,1,1,7344,14.75,69100,118,2325,3541,11,Non-Hispanic White,True,Male,15.0
549300DD4R4SYK5RAQ92,19124,TX,48121.0,48121021403.0,C,1,2,295000.0,83.0,360,,2,365000.0,1,85.0,41,2,35-44,No,1,1,10922,22.9,77200,117,2902,4001,28,Non-Hispanic White,True,Male,41.0
SS1TRMSN6BRNMOREEV51,28420,WA,53005.0,53005011503.0,C,1,2,245000.0,90.0,360,,2,275000.0,1,79.0,43,2,25-34,No,2,1,9269,17.96,72800,134,2812,3455,23,Non-Hispanic White,True,Male,43.0
