lei,derived_msa_md,state_code,county_code,census_tract,conforming_loan_limit,purchaser_type,preapproval,loan_amount,combined_loan_to_value_ratio,loan_term,intro_rate_period,other_nonamortizing_features,property_value,total_units,income,debt_to_income_ratio,applicant_credit_score_type,applicant_age,applicant_age_above_62,initially_payable_to_institution,aus_1,tract_population,tract_minority_population_percent,ffiec_msa_md_median_family_income,tract_to_msa_income_percentage,tract_owner_occupied_units,tract_one_to_four_family_homes,tract_median_age_of_housing_units,derived_race_ethnicity_combination,gender,modified_debt_to_income_ratio,loan_approved
549300FGXN1K3HLB1R50,31180,TX,48303,48303010700,C,1,2,245000,80,360,0,2,315000,1,92,47,1,55-64,Yes,1,1,3883,16.48,62800,146,1311,1704,32,Non-Hispanic White,Male,47,TRUE
549300IBHVRZNE4YFN80,35004,NY,36103,36103180300,NC,0,2,705000,75,360,85,2,945000,1,1176,<20%,2,55-64,No,2,6,2812,6.4,116700,112,990,2845,39,Non-Hispanic White,Male,15,TRUE
549300LE3ZOZXUS7W648,35380,LA,22071,22071003303,C,1,2,315000,90,360,0,2,355000,1,87,40,2,25-34,No,1,1,2100,83.19,65700,59,291,892,55,Non-Hispanic White,Male,40,TRUE
54930034MNPILHP25H80,48900,NC,37129,37129010400,C,3,2,215000,80,360,0,2,275000,1,56,47,9,35-44,No,1,2,2934,11.93,72600,120,784,1225,60,Non-Hispanic White,Female,47,TRUE
549300K7224BC1IAX207,29460,FL,12105,12105010800,C,0,1,145000,95,360,0,2,155000,1,42,39,2,25-34,No,1,2,3764,58.58,53600,69,414,1578,57,Non-Hispanic White,Female,39,TRUE
549300FNXYY540N23N64,35300,CT,9009,9009154800,C,3,2,125000,82,360,0,2,155000,1,50,44,1,<25,No,1,1,4893,18.05,86200,131,1756,2077,63,Non-Hispanic White,Male,44,TRUE
549300DD4R4SYK5RAQ92,34980,TN,47081,47081950200,C,1,2,205000,56.79,360,0,2,365000,1,61,48,3,35-44,No,1,1,6391,4.13,73200,60,2060,2991,23,Non-Hispanic White,Female,48,TRUE
254900GHOV7VQ9CSKN31,41740,CA,6073,6073008350,C,6,2,295000,50,360,0,2,585000,1,123,38,1,45-54,No,1,2,6104,71.66,81800,136,1220,1634,30,Non-Hispanic White,Female,38,TRUE
549300GKFNPRWNS0GF29,34980,TN,47149,47149041201,C,1,2,265000,91.51,360,0,2,285000,1,141,47,1,45-54,No,1,1,5365,12.4,73200,151,1648,1836,15,Non-Hispanic White,Male,47,TRUE
549300SHE1JTCOWBP090,39580,NC,37183,37183054110,C,0,2,205000,100.99,360,60,2,205000,1,45,30%-<36%,3,25-34,No,1,6,9224,43.22,84300,115,2849,3388,14,Non-Hispanic White,Male,33,TRUE
549300KOAKQX3BEWWT56,26420,TX,48339,48339690602,C,6,2,105000,39.624,360,0,2,265000,1,40,38,3,65-74,Yes,1,1,21741,31.64,75600,226,4934,6444,10,Non-Hispanic White,Male,38,TRUE
SS1TRMSN6BRNMOREEV51,41620,UT,49035,49035101800,C,1,2,255000,65.78,360,0,2,385000,1,50,42,2,25-34,No,2,2,3424,16.38,79700,95,555,1044,63,Non-Hispanic White,Female,42,TRUE
5493001PXRJMPLXPG540,99999,ID,16031,16031950500,C,9,1,195000,97,360,0,2,205000,1,73,30%-<36%,3,25-34,No,2,1,5337,21,55600,112,1363,1746,49,Non-Hispanic White,Male,33,TRUE
54930004SDYVHYN4M716,12260,SC,45003,45003022001,C,71,2,365000,90,360,0,2,405000,1,92,46,1,45-54,No,2,1,4416,25.27,62300,113,1585,2120,19,Non-Hispanic White,Female,46,TRUE
5493002Y5XYV7DV1ZV88,34980,TN,47037,47037018409,C,71,2,275000,90,360,0,2,305000,1,54,49,7,45-54,No,1,1,4722,9.95,73200,132,1735,2217,28,Non-Hispanic White,Female,49,TRUE
549300GKFNPRWNS0GF29,14260,ID,16001,16001010335,C,0,1,205000,80,360,0,2,255000,1,60,20%-<30%,3,<25,No,1,6,23739,11.43,69600,112,6612,7636,12,Non-Hispanic White,Male,25,TRUE
